UN2017 population projections: medium variant,,,,,,,,,,,
Units: millions of people.,,,,,,,,,,,
,,,,,,,,,,,
US,EU,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,OthAsia
300.2428905,506.7859724,130.4207906,145.7445026,161.5593498,1338.290839,1175.987828,460.1850169,778.9427346,578.6360834,119.3404641,975.8662149
321.999054,512.22908,126.573481,143.456918,166.897783,1376.048943,1311.050527,535.179468,1003.094176,634.448571,128.216482,1090.277616
345.33171,517.730649,122.839664,141.205239,172.412615,1414.872342,1461.625234,622.395455,1291.748265,695.644466,137.752659,1218.102709
365.532948,517.996488,117.063487,135.673914,173.617413,1408.316052,1585.349852,698.922256,1628.167712,742.805259,144.655701,1320.806795
381.754317,514.321161,110.521006,130.58831,173.583271,1374.657061,1673.618767,769.012025,2005.670623,774.360448,148.397851,1397.40694
396.413357,506.75467,104.45337,126.654849,171.882344,1315.148137,1729.35406,825.880512,2407.080321,790.501811,150.186104,1444.499427
411.18807,496.802255,98.291342,122.534291,168.046432,1236.664095,1752.843331,865.761082,2815.873042,791.966116,150.796347,1464.952523
424.926688,488.72978,92.266868,119.439114,163.792068,1159.644893,1747.945832,892.791305,3215.404116,780.592874,150.907722,1465.211603
436.37032,483.430629,87.848159,118.47106,160.030099,1087.073722,1722.03944,910.92587,3587.102276,760.134809,150.797248,1449.301179
446.214417,479.69215,84.577385,117.93754,156.242392,1028.079962,1683.339045,920.917901,3916.882511,734.721255,150.991634,1422.86438
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
450.666806,477.875707,83.174944,117.444757,154.166146,1004.391965,1659.785948,922.530534,4063.203263,721.265978,151.20181,1407.609624
